Skellet

DogZilla

Ghost

 To  Be  Dropped 

 To  Be  Dropped 

 To  Be  Dropped 

 To  Be  Dropped 

Yeti

 To  Be  Dropped 

 To  Be  Dropped 

11,Green, Pink  Collar ,Earring,White,Bandage,Laugh

12,Green, Punk  Collar ,,Blond, Green  Beanie ,Laugh

13,Red, Pink  Collar ,,Brown,Helmet,

14,Green, Punk  Collar ,Earring,White,Hat,Laugh

15,Red,,Earring,Brown,,

16,Pride,Suit,,Brown, Blue  Cap ,Grin

17,Blue,Monokini,,Blond,,Laugh

18,Blue,,,Blond,Hat,

19,Blue,Monokini,,White, Orange  Beanie ,Angry

20,Red, Punk  Collar ,,Blond, Orange  Beanie ,Laugh

